package,declared,locked,latest_tag,status,engines,source,checked_date,dev_sha
@ai-sdk/react,^3.0.193,3.0.199,4.0.96,differs-from-latest,"{""node"": "">=22""}",https://registry.npmjs.org/%40ai-sdk%2Freact/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@axe-core/playwright,^4.11.3,4.11.3,4.13.0,differs-from-latest,{},https://registry.npmjs.org/%40axe-core%2Fplaywright/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@eslint/js,^9.32.0,9.32.0,10.0.1,differs-from-latest,"{""node"": ""^20.19.0 || ^22.13.0 || >=24""}",https://registry.npmjs.org/%40eslint%2Fjs/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@hookform/resolvers,^3.10.0,3.10.0,5.9.1,differs-from-latest,{},https://registry.npmjs.org/%40hookform%2Fresolvers/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@playwright/test,^1.60.0,1.60.0,1.63.0,differs-from-latest,"{""node"": "">=20""}",https://registry.npmjs.org/%40playwright%2Ftest/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-accordion,^1.2.11,1.2.11,1.2.20,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-accordion/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-alert-dialog,^1.1.14,1.1.14,1.1.23,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-alert-dialog/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-aspect-ratio,^1.1.7,1.1.7,1.1.15,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-aspect-ratio/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-avatar,^1.1.10,1.1.10,1.2.6,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-avatar/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-checkbox,^1.3.2,1.3.2,1.3.11,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-checkbox/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-collapsible,^1.1.12,1.1.13,1.1.20,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-collapsible/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-context-menu,^2.2.15,2.2.15,2.3.7,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-context-menu/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-dialog,^1.1.15,1.1.16,1.1.23,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-dialog/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-dropdown-menu,^2.1.16,2.1.17,2.1.24,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-dropdown-menu/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-hover-card,^1.1.15,1.1.16,1.1.23,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-hover-card/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-label,^2.1.7,2.1.7,2.1.15,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-label/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-menubar,^1.1.15,1.1.15,1.1.24,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-menubar/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-navigation-menu,^1.2.13,1.2.13,1.2.22,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-navigation-menu/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-popover,^1.1.14,1.1.14,1.1.23,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-popover/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-progress,^1.1.7,1.1.7,1.1.16,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-progress/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-radio-group,^1.3.7,1.3.7,1.4.7,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-radio-group/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-scroll-area,^1.2.9,1.2.9,1.2.18,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-scroll-area/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-select,^2.2.6,2.3.0,2.3.7,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-select/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-separator,^1.1.8,1.1.9,1.1.15,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-separator/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-slider,^1.3.5,1.3.5,1.4.7,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-slider/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-slot,^1.2.4,1.2.5,1.3.3,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-slot/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-switch,^1.2.5,1.2.5,1.3.7,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-switch/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-tabs,^1.1.12,1.1.12,1.1.21,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-tabs/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-toast,^1.2.14,1.2.14,1.2.23,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-toast/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-toggle,^1.1.9,1.1.9,1.1.18,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-toggle/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-toggle-group,^1.1.10,1.1.10,1.1.19,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-toggle-group/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@radix-ui/react-tooltip,^1.2.8,1.2.9,1.2.16,differs-from-latest,{},https://registry.npmjs.org/%40radix-ui%2Freact-tooltip/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@streamdown/cjk,^1.0.3,1.0.3,1.0.3,matches-latest,{},https://registry.npmjs.org/%40streamdown%2Fcjk/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@streamdown/code,^1.1.1,1.1.1,1.1.1,matches-latest,{},https://registry.npmjs.org/%40streamdown%2Fcode/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@streamdown/math,^1.0.2,1.0.2,1.0.2,matches-latest,{},https://registry.npmjs.org/%40streamdown%2Fmath/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@streamdown/mermaid,^1.0.2,1.0.2,1.0.2,matches-latest,{},https://registry.npmjs.org/%40streamdown%2Fmermaid/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@tailwindcss/typography,^0.5.16,0.5.16,0.5.20,differs-from-latest,{},https://registry.npmjs.org/%40tailwindcss%2Ftypography/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@tanstack/react-query,^5.83.0,5.83.0,5.102.8,differs-from-latest,{},https://registry.npmjs.org/%40tanstack%2Freact-query/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@testing-library/jest-dom,^6.6.0,6.9.1,7.0.1,differs-from-latest,"{""node"": "">=22"", ""npm"": "">=6"", ""yarn"": "">=1""}",https://registry.npmjs.org/%40testing-library%2Fjest-dom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@testing-library/react,^16.0.0,16.3.2,16.3.3,differs-from-latest,"{""node"": "">=18""}",https://registry.npmjs.org/%40testing-library%2Freact/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@types/node,^22.16.5,22.16.5,26.4.1,differs-from-latest,{},https://registry.npmjs.org/%40types%2Fnode/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@types/react,^18.3.23,18.3.23,19.2.18,differs-from-latest,{},https://registry.npmjs.org/%40types%2Freact/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@types/react-dom,^18.3.7,18.3.7,19.2.7,differs-from-latest,{},https://registry.npmjs.org/%40types%2Freact-dom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
@types/react-grid-layout,^1.3.5,1.3.6,2.1.0,differs-from-latest,{},https://registry.npmjs.org/%40types%2Freact-grid-layout/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
